option_id,category,option_name,affordance_fit,simplicity,local_first_fit,agentic_coding_fit,testability,maintainability,migration_cost,risk,notes,recommendation_status
lang_ts_node,language_runtime,TypeScript + Node,high,high,high,high,high,high,low,medium,"Matches repo; good shared domain/CLI/API/UI types; some ML gaps.","recommended_minimal"
lang_python,language_runtime,Python,medium,medium,high,medium,high,medium,high,medium,"Good for ML/retrieval experiments but would split domain model.","defer_auxiliary"
lang_hybrid,language_runtime,TypeScript + Python hybrid,medium,medium,high,medium,high,medium,medium,medium,"Useful later if Python handles retrieval/eval behind CLI/file boundary.","defer"
storage_files,storage,Markdown/YAML/JSON files,medium,high,high,high,medium,medium,low,medium,"Excellent for docs/fixtures/archive; weak primary relational state.","use_supporting"
storage_sqlite,storage,SQLite explicit schema,high,high,high,high,high,high,medium,low,"Best local-first durable core; supports constraints, tests, FTS.","recommended_minimal"
storage_postgres,storage,PostgreSQL,high,low,medium,medium,high,medium,high,medium,"Strong relational DB but operationally premature.","avoid_now"
storage_docdb,storage,Document DB,low,medium,medium,medium,medium,low,high,high,"Repeats generic payload risk with more overhead.","avoid"
storage_hybrid,storage,SQLite + local files,high,high,high,high,high,high,medium,low,"Best fit for queryable state plus artifacts/docs.","recommended_minimal"
retrieval_keyword,search_retrieval,File/keyword search,medium,high,high,high,medium,high,low,low,"Baseline inspectable retrieval via rg/simple search.","recommended_baseline"
retrieval_fts,search_retrieval,SQLite FTS,high,high,high,high,high,high,medium,low,"Good first source-linked retrieval index.","recommended_soon"
retrieval_embeddings,search_retrieval,Local embeddings/vector search,medium,medium,high,medium,medium,medium,medium,medium,"Potentially useful but needs evaluation evidence.","defer"
interface_cli,interface,CLI-first,high,high,high,high,high,high,low,low,"Best for agents, tests, and service-first design.","recommended_minimal"
interface_web,interface,Local web app,high,medium,high,medium,medium,medium,medium,medium,"Useful operator UI; should follow services.","recommended_later"
interface_desktop,interface,Desktop app,medium,low,high,medium,medium,medium,high,medium,"Packaging overhead before clear need.","defer"
architecture_modular,architecture,Modular monolith,high,high,high,high,high,high,medium,low,"Single local system with clear modules.","recommended_minimal"
architecture_event,architecture,Full event sourcing,medium,low,medium,medium,medium,medium,high,high,"Audit useful; full event sourcing too heavy.","avoid_now"
architecture_state_machine,architecture,Workflow/state-machine oriented services,high,medium,high,high,high,high,medium,medium,"Good for task/run/review transitions if lightweight.","recommended"
architecture_graph,architecture,Knowledge graph database,medium,low,medium,medium,medium,medium,high,high,"Ontology useful; graph DB premature.","defer"
model_codex_direct,model_integration,Direct Codex/OpenAI calls,medium,high,medium,high,medium,medium,low,medium,"Useful adapter but should not be core abstraction.","use_as_adapter"
model_provider_abstraction,model_integration,Provider abstraction,high,medium,high,high,high,high,medium,medium,"Needed for routing and replacement strategy.","recommended_soon"
model_local_ollama,model_integration,Ollama/llama.cpp/MLX local models,medium,medium,high,medium,medium,medium,medium,medium,"Potential replacement path after evaluation harness.","defer"
